Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:41020002


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
41020002;1;01/09/1959;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;104;104;104;104;108;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
41020002;1;01/10/1959;;1;1;443;85;218,29;24;8;1;1;1;;0;108;104;108;98;94;91;88;85;104;142;123;115;112;104;123;182;266;368;363;306;310;336;391;443;391;368;345;292;253;240;314;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/11/1959;;1;1;1060;266;512,967;26;12;1;1;1;;0;350;372;382;354;284;275;275;288;301;284;288;266;284;314;336;438;488;458;493;488;568;717;776;1010;1030;1060;935;795;750;730;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
41020002;1;01/12/1959;;1;1;776;405;538,935;15;7;1;1;1;;0;640;580;510;443;424;414;405;405;429;478;515;653;717;756;776;750;704;621;634;615;533;448;493;539;504;488;458;429;463;405;478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/12/1962;;1;1;2570;182;1984,968;30;2;1;1;1;;0;204;182;250;356;822;1670;2500;2450;2450;2440;2470;2480;2500;2490;2190;2050;2060;2090;2100;2080;2090;2120;2170;2160;2170;2250;2550;2500;2550;2570;2570;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/01/1963;;1;1;2790;2100;2553,548;7;29;1;1;1;;0;2570;2610;2580;2600;2780;2780;2790;2780;2780;2780;2750;2740;2690;2630;2650;2720;2730;2710;2690;2650;2630;2610;2540;2270;2250;2220;2180;2140;2100;2110;2100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/02/1963;;1;1;2100;628;979,357;1;28;1;1;1;;0;2100;1340;997;1320;1710;943;963;963;1000;990;950;943;956;963;943;950;936;950;950;943;808;802;788;672;634;646;634;628;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
41020002;1;01/03/1963;;1;1;640;394;506;2;30;1;1;1;;0;621;640;609;621;621;536;494;500;494;488;566;554;542;536;530;518;518;506;500;488;482;470;464;458;446;434;428;417;411;394;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/04/1963;;1;1;428;335;386,467;24;26;1;1;1;;0;383;394;394;400;394;388;400;394;406;394;394;411;400;372;372;394;394;400;366;361;377;361;417;428;377;335;361;361;366;400;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
41020002;1;01/05/1963;;1;1;428;304;393,323;25;26;1;1;1;;0;361;377;377;377;372;388;377;400;417;411;423;377;377;400;377;406;423;394;423;372;406;335;372;417;428;304;417;423;417;417;428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/06/1963;;1;1;440;274;410,367;7;30;1;1;1;;0;434;377;400;406;417;434;440;440;423;423;434;428;417;423;377;324;400;423;434;428;423;423;299;434;434;440;434;434;434;274;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
41020002;1;01/07/1963;;1;1;506;324;471,871;9;28;1;1;1;;0;446;446;458;458;470;452;494;488;506;506;506;494;494;434;464;494;500;500;494;458;350;506;494;494;488;494;494;324;464;506;452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/08/1963;;1;1;518;434;482,774;15;4;1;1;1;;0;494;464;476;434;470;494;464;494;500;482;482;500;506;506;518;470;464;500;488;470;470;470;476;476;464;488;494;488;494;494;476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/09/1963;;1;1;542;446;494,6;13;23;1;1;1;;0;494;488;494;482;506;530;506;488;500;536;536;524;542;494;500;494;488;482;488;476;482;464;446;476;482;470;470;494;500;506;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
41020002;1;01/10/1963;;1;1;554;458;515,29;9;27;1;1;1;;0;506;506;506;500;500;512;512;542;554;548;554;530;494;512;548;482;524;512;530;512;536;518;512;512;536;518;458;476;488;524;512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/11/1963;;1;1;518;366;449,3;6;24;1;1;1;;0;476;440;506;506;500;518;494;506;482;452;482;500;476;417;377;406;377;406;372;428;406;452;434;366;428;434;434;428;494;482;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
